CBSA,CBSA_NAME,HISPANIC_POP,POPULATION,BUSINESSES
46300,"Twin Falls, ID",17669,99948,2973
34140,"Moscow, ID",1337,38113,883
40740,"Roswell, NM",34180,65690,1422
25260,"Hanford-Corcoran, CA",77403,151702,1579
35440,"Newport, OR",3649,45700,1597
45660,"Tiffin, OH",3028,62704,1310
20740,"Eau Claire, WI",2562,159120,4180
15580,"Butte-Silver Bow, MT",1249,34108,1125
21380,"Emporia, KS",6769,33810,841
41460,"Salina, KS",5501,61227,1716
15780,"Camden, AR",553,31302,624
30220,"Levelland, TX",9690,21945,491
10540,"Albany, OR",9399,123803,2445
38820,"Port Angeles, WA",3694,72705,2131
16500,"Centralia, WA",6968,76804,1805
11460,"Ann Arbor, MI",13194,331184,7679
38420,"Platteville, WI",725,55393,1286
25300,"Hannibal, MO",476,37021,1025
22780,"Fort Leonard Wood, MO",4742,56005,764
38920,"Port Lavaca, TX",9932,21349,410
37780,"Pecos, TX",10253,13816,184
18460,"Cornelia, GA",5331,44889,776
45980,"Troy, AL",761,34385,656
17260,"Clarksdale, MS",279,25461,555
15340,"Bucyrus, OH",543,45345,876
47980,"Watertown, SD",423,27180,1090
42420,"Scottsbluff, NE",7847,38338,1108
32220,"Marshall, TX",6303,53321,1137
20300,"Dumas, TX",11474,21715,463
44920,"Summit Park, UT",4694,37371,2040
29060,"Laconia, NH",794,64948,1853
40260,"Roanoke Rapids, NC",1526,80134,1311
18740,"Coshocton, OH",278,33579,627
33140,"Michigan City-La Porte, IN",6114,110357,2390
30660,"Lincoln, IL",884,30029,616
38220,"Pine Bluff, AR",1805,100667,1636
38380,"Plainview, TX",20682,37291,715
36830,"Othello, WA",12129,20532,382
12020,"Athens-Clarke County, GA",15630,192220,4395
43980,"Spencer, IA",463,16253,617
37660,"Parsons, KS",872,21432,480
15420,"Burley, ID",12255,43197,1044
25720,"Heber, UT",2670,22364,720
25780,"Henderson, NC",3183,49340,898
23460,"Gadsden, AL",3692,107141,2037
17420,"Cleveland, TN",4904,114968,2061
22700,"Fort Dodge, IA",1442,37809,1037
29340,"Lake Charles, LA",5159,203477,4387
12780,"Bartlesville, OK",2556,50993,1206
34780,"Muskogee, OK",3849,76534,1476
45020,"Sweetwater, TX",5183,15807,339
13700,"Big Spring, TX",13648,36324,721
39940,"Rexburg, ID",3929,50559,1011
49080,"Winnemucca, NV",4288,17873,398
45620,"Thomasville, GA",1551,48789,1104
40080,"Richmond-Berea, KY",1894,98620,1787
35860,"North Vernon, IN",557,26944,393
36820,"Oskaloosa, IA",348,20951,537
15460,"Burlington, IA-IL",1116,46588,1216
45700,"Tifton, GA",4596,42765,1052
12460,"Bainbridge, GA",1393,27461,576
43380,"Sidney, OH",638,46979,976
13540,"Bennington, VT",523,36936,1433
19260,"Danville, VA",2446,105097,2178
48900,"Wilmington, NC",13854,253831,7412
45580,"Thomaston, GA",585,25499,448
37260,"Palatka, FL",6536,71429,1277
42700,"Sebring, FL",17443,100149,1894
43180,"Shelbyville, TN",5105,45774,754
32500,"Maysville, KY",244,17108,449
35940,"Norwalk, OH",3609,74638,1370
